asin,Title,Rating,NumberOfReviews,Price
B009UQXD90,"Twinings Earl Grey Black Tea Bags, 100 Count (Pack of 1)",4.8,"71,859 ratings",
B00478FECA,"The Republic of Tea - Hot Apple Cider Tea, 36 Tea Bags, Tin | Harvest Herbal Blend | Caffeine-free",4.5,"2,334 ratings",
B09HW99JD5,"Stash Tea Bags Sampler Assortment Variety Pack Gift, 52 Count",4.7,404 ratings,
B001EQ5JLE,"PG Tips Black Tea, Pyramid Tea Bags, 240-Count Box (Pack of 2)",4.8,"4,361 ratings",
B075F9Y19M,"BLUE RIBBON Twinings Tea Bags Sampler Assortment Variety Pack Gift Box - 48 Count - Perfect Variety - English Breakfast, Green, Black, Herbal, Chai Tea and more",4.7,"13,078 ratings",
B07QL2XZY3,"Lipton Iced Tea K-Cup Pods, Southern Sweet Black Tea, 24 Pods",4.7,"10,465 ratings",
B00GEG40LY,"Bigelow Black Tea 6 Flavor Variety Pack, Caffeinated 20 Count (Pack of 6), 120 Total Tea Bags",4.8,"34,413 ratings",
B00286KM2A,"Lipton Gallon-Sized Iced Tea Bags Picked At The Peak of Freshness Unsweetened Can Help Support a Healthy Heart 48 Oz 48 Count, Standart",4.8,"11,428 ratings",
B0186S3EU0,"Tea Forte English Breakfast Loose Bulk Tea, 1 Pound Pouch, Organic Black Tea Makes 160-170 Cups",4.7,196 ratings,
B08WWHSS4H,"Gold Peak Sweet Tea, Real Brewed Tea, 59 Fl Oz",4.8,472 ratings,
B005Q8BIK2,"Stash Tea Fruity Herbal Tea 6 Flavor Tea Sampler, 6 boxes With 18-20 Tea Bags Each",4.6,"11,769 ratings",
B007M8FRTW,"Yogi Sweet Tangerine Positive Energy, 16 Tea Bags, Packaging May Vary (Pack of 1)",4.7,"2,986 ratings",
B000GBXG2C,"Bewley's Dublin Morning Tea, 80-Count",4.8,675 ratings, 10.06 
B008YA0Z8K,"Bigelow K-Cup for Keurig Brewers, English Breakfast Tea , 24 count (Pack of 4)",4.8,230 ratings,
